epoch,Coarse_prediction_output_layer_accuracy,Coarse_prediction_output_layer_loss,Final_output_loss,Fine_prediction_output_layer_accuracy,Fine_prediction_output_layer_loss,Medium_prediction_output_layer_accuracy,Medium_prediction_output_layer_loss,loss,val_Coarse_prediction_output_layer_accuracy,val_Coarse_prediction_output_layer_loss,val_Final_output_loss,val_Fine_prediction_output_layer_accuracy,val_Fine_prediction_output_layer_loss,val_Medium_prediction_output_layer_accuracy,val_Medium_prediction_output_layer_loss,val_loss
49,0.9413812160491943,0.06638097018003464,0.47888362407684326,0.9595870971679688,0.08817073702812195,0.8888444304466248,0.09373440593481064,0.08276349306106567,0.9444000124931335,0.04383278638124466,0.6372193098068237,0.911300003528595,0.0676913931965828,0.878000020980835,0.06665604561567307,0.05841610208153725
50,0.9398007392883301,0.06642691791057587,0.4762111306190491,0.9596871137619019,0.08797743916511536,0.8873039484024048,0.09365349262952805,0.08301306515932083,0.9430000185966492,0.04446951299905777,0.628097653388977,0.9100000262260437,0.06849709153175354,0.878000020980835,0.06743153184652328,0.05936650559306145
51,0.9395206570625305,0.06659024208784103,0.4698716998100281,0.9586668014526367,0.08794713765382767,0.8881242275238037,0.09308655560016632,0.0826978087425232,0.9370999932289124,0.04889926314353943,0.6250783205032349,0.9110000133514404,0.06799609214067459,0.8801000118255615,0.06565001606941223,0.05998382717370987
52,0.9411011338233948,0.06608673185110092,0.4695475101470947,0.9620278477668762,0.08722539991140366,0.8883642554283142,0.09312005341053009,0.08238013833761215,0.9442999958992004,0.044015705585479736,0.6276443600654602,0.9108999967575073,0.06830760836601257,0.8759999871253967,0.06615600734949112,0.05843275040388107
53,0.9415813088417053,0.06605896353721619,0.46981871128082275,0.959426999092102,0.0874548926949501,0.8877840638160706,0.09287067502737045,0.08236731588840485,0.9416000247001648,0.046056464314460754,0.6246163845062256,0.9125999808311462,0.06713514775037766,0.8766999840736389,0.06657598912715912,0.05927125737071037
54,0.9415813088417053,0.06609895080327988,0.4679691195487976,0.9605473875999451,0.08793523907661438,0.8868438005447388,0.0932030975818634,0.082733154296875,0.9408000111579895,0.04504166543483734,0.6261236667633057,0.9115999937057495,0.06832773238420486,0.8798999786376953,0.06598509848117828,0.058895520865917206
55,0.9428216814994812,0.06514602154493332,0.4687957465648651,0.9606074094772339,0.08660710602998734,0.8918653726577759,0.09146338701248169,0.08136161416769028,0.9452999830245972,0.044411033391952515,0.6310309767723083,0.9124000072479248,0.06717200577259064,0.8815000057220459,0.06575408577919006,0.05839376151561737
56,0.9408010840415955,0.0659891664981842,0.46702754497528076,0.9584466814994812,0.08746353536844254,0.8889845013618469,0.09245289862155914,0.0821688324213028,0.9452999830245972,0.044440124183893204,0.627833902835846,0.913100004196167,0.06682582199573517,0.8769999742507935,0.06608238816261292,0.05845111235976219
57,0.9416013360023499,0.0662049651145935,0.466348797082901,0.9598871469497681,0.08726024627685547,0.8893445730209351,0.09341122210025787,0.08266138285398483,0.944100022315979,0.04423297569155693,0.6289255619049072,0.9125999808311462,0.06727366149425507,0.8806999921798706,0.06541218608617783,0.05809669941663742
58,0.9406810402870178,0.06577270478010178,0.46556952595710754,0.9586467742919922,0.08723508566617966,0.8920854926109314,0.09241697937250137,0.08204726874828339,0.9417999982833862,0.04478497803211212,0.6238164305686951,0.9117000102996826,0.06739950180053711,0.8736000061035156,0.06536323577165604,0.05830200016498566
59,0.9405609965324402,0.06605195999145508,0.46725183725357056,0.9603673219680786,0.08665676414966583,0.8908450603485107,0.09159988164901733,0.08147628605365753,0.9422000050544739,0.04520729184150696,0.6243423819541931,0.9143999814987183,0.06657934933900833,0.8777999877929688,0.06563815474510193,0.05835183709859848
60,0.9437820315361023,0.06485849618911743,0.4648069441318512,0.9604073166847229,0.08653327822685242,0.8911251425743103,0.0923336073756218,0.08138179779052734,0.944100022315979,0.043877992779016495,0.6237392425537109,0.9146000146865845,0.06591512262821198,0.8787000179290771,0.06476200371980667,0.05731617286801338
61,0.9426016211509705,0.06473736464977264,0.46572282910346985,0.9580866098403931,0.08700903505086899,0.8917253613471985,0.09194041788578033,0.08153310418128967,0.9430999755859375,0.04454886540770531,0.6192569732666016,0.9143999814987183,0.06582397222518921,0.879800021648407,0.06441351026296616,0.057636234909296036
62,0.9424415826797485,0.06467817723751068,0.464618444442749,0.9597671031951904,0.08645164966583252,0.8903849124908447,0.09182672947645187,0.0812661424279213,0.9444000124931335,0.0438818596303463,0.6229257583618164,0.9122999906539917,0.06629098951816559,0.8787999749183655,0.06465159356594086,0.05752642825245857
63,0.9424015879631042,0.06485719978809357,0.46480923891067505,0.9625880122184753,0.08615966886281967,0.8904449343681335,0.09139789640903473,0.08109773695468903,0.9437000155448914,0.044681597501039505,0.6217514872550964,0.9144999980926514,0.06613153219223022,0.8804000020027161,0.06378156691789627,0.0573476180434227
64,0.9421414732933044,0.06493588536977768,0.46625959873199463,0.962708055973053,0.085627980530262,0.8919054269790649,0.09085742384195328,0.08073211461305618,0.9442999958992004,0.044213734567165375,0.6202254891395569,0.914900004863739,0.0664205327630043,0.8842999935150146,0.06438327580690384,0.057417821139097214
65,0.9425216317176819,0.06473826617002487,0.46318307518959045,0.9624079465866089,0.08540111780166626,0.8910451531410217,0.09052135050296783,0.08036310970783234,0.942799985408783,0.04377518221735954,0.620700478553772,0.9154999852180481,0.0661352202296257,0.8761000037193298,0.06494960933923721,0.05742316320538521
66,0.9423215389251709,0.06483478844165802,0.4640110731124878,0.9612275958061218,0.08655822277069092,0.8920454382896423,0.09159024804830551,0.08116527646780014,0.9437999725341797,0.04370085150003433,0.6200780868530273,0.9144999980926514,0.065376877784729,0.8797000050544739,0.06378830224275589,0.056791700422763824
67,0.94442218542099,0.06452347338199615,0.461678683757782,0.9627480506896973,0.08675315231084824,0.892625629901886,0.09188422560691833,0.08117194473743439,0.9456999897956848,0.043587055057287216,0.619968831539154,0.9156000018119812,0.06550093740224838,0.8806999921798706,0.0638238936662674,0.05676918849349022
68,0.9458826780319214,0.0643012598156929,0.46151748299598694,0.9623079299926758,0.08581835776567459,0.8921054601669312,0.09112890809774399,0.0807579904794693,0.9452000260353088,0.043667022138834,0.6183338165283203,0.9156000018119812,0.06499819457530975,0.8759999871253967,0.06326258182525635,0.0565621592104435
69,0.9444822072982788,0.06404317170381546,0.4594952166080475,0.962247908115387,0.0852632001042366,0.8907050490379333,0.09072794765233994,0.08057920634746552,0.9435999989509583,0.044059254229068756,0.6184086203575134,0.9154000282287598,0.0650201290845871,0.8806999921798706,0.06373720616102219,0.057099949568510056
70,0.9439620971679688,0.06486246734857559,0.4584463834762573,0.9599272012710571,0.0866745114326477,0.8905249834060669,0.0914878323674202,0.08136307448148727,0.9416000247001648,0.04377661272883415,0.6115082502365112,0.9144999980926514,0.06568218767642975,0.8798999786376953,0.06428322196006775,0.05728568136692047
71,0.9451024532318115,0.06421491503715515,0.4591083228588104,0.9619477987289429,0.08581984788179398,0.8929457664489746,0.09075454622507095,0.08064219355583191,0.944100022315979,0.04423268511891365,0.614589512348175,0.9150000214576721,0.06525589525699615,0.8763999938964844,0.0638798326253891,0.05722281336784363
72,0.9425616264343262,0.06474048644304276,0.4564712941646576,0.9618077874183655,0.08600868284702301,0.8916453123092651,0.09117397665977478,0.08103588968515396,0.9445000290870667,0.04393940791487694,0.6153743267059326,0.9150000214576721,0.06540493667125702,0.8798999786376953,0.06360122561454773,0.056955114006996155
73,0.944002091884613,0.06387080997228622,0.4580304026603699,0.9623879790306091,0.0853143110871315,0.8909450769424438,0.09077613800764084,0.08022303134202957,0.9447000026702881,0.04387829452753067,0.6149160861968994,0.9138000011444092,0.06550014764070511,0.8780999779701233,0.0638250783085823,0.056891169399023056
74,0.9445422291755676,0.06418941169977188,0.45552435517311096,0.9622279405593872,0.08566522598266602,0.8929057121276855,0.09080220013856888,0.08057346940040588,0.9434999823570251,0.04383280500769615,0.6140864491462708,0.9150000214576721,0.06509475409984589,0.8806999921798706,0.06335011124610901,0.05670769140124321
75,0.9452024698257446,0.06390651315450668,0.4547974765300751,0.963628351688385,0.08497842401266098,0.8919253945350647,0.09065748006105423,0.08027152717113495,0.9447000026702881,0.04359497129917145,0.6137569546699524,0.9146999716758728,0.06512952595949173,0.8809000253677368,0.06312654167413712,0.05649951100349426
76,0.9433018565177917,0.06465786695480347,0.4561533033847809,0.9614076614379883,0.08600732684135437,0.8905249834060669,0.09073884785175323,0.0808144360780716,0.9441999793052673,0.04371709004044533,0.6139752864837646,0.916100025177002,0.06485585868358612,0.876800000667572,0.06346055865287781,0.056721802800893784
77,0.9437620043754578,0.06456437706947327,0.45693254470825195,0.9619878530502319,0.08573667705059052,0.8901048302650452,0.09121780097484589,0.08089340478181839,0.9438999891281128,0.04382217675447464,0.613156259059906,0.9156000018119812,0.06474318355321884,0.8809999823570251,0.06314355134963989,0.056538816541433334
78,0.9450023770332336,0.06410835683345795,0.45539042353630066,0.9622879028320312,0.08546482026576996,0.8927456736564636,0.0902499184012413,0.08026160299777985,0.9440000057220459,0.043894652277231216,0.6107896566390991,0.9154000282287598,0.06474253535270691,0.8828999996185303,0.06313224136829376,0.056591786444187164
79,0.9434618949890137,0.06429745256900787,0.45440784096717834,0.9628080725669861,0.08530087769031525,0.8931457996368408,0.09059438854455948,0.08048119395971298,0.9427000284194946,0.043637391179800034,0.6110974550247192,0.9147999882698059,0.06485561281442642,0.8827000260353088,0.06341751664876938,0.05666537955403328
80,0.9444822072982788,0.06385397166013718,0.45469722151756287,0.9615877270698547,0.0854504331946373,0.8925256133079529,0.09027881175279617,0.0799880102276802,0.9433000087738037,0.043586891144514084,0.6090835928916931,0.9164000153541565,0.06471718847751617,0.8787999749183655,0.06334830075502396,0.056435272097587585
81,0.9469430446624756,0.06350583583116531,0.4534836709499359,0.9621878862380981,0.08557025343179703,0.8923055529594421,0.09051257371902466,0.08015435934066772,0.944599986076355,0.04345542937517166,0.6127632856369019,0.9153000116348267,0.06451991945505142,0.8809999823570251,0.06381318718194962,0.05673659220337868
82,0.9445622563362122,0.06431400030851364,0.45566293597221375,0.9627680778503418,0.08495277166366577,0.8923855423927307,0.09008396416902542,0.08041226863861084,0.9449999928474426,0.043603215366601944,0.6102614998817444,0.9168999791145325,0.06419934332370758,0.880299985408783,0.06345604360103607,0.056767869740724564
83,0.9455626010894775,0.06397836655378342,0.4542653262615204,0.9618678092956543,0.08550161868333817,0.8939260840415955,0.09072970598936081,0.08042067289352417,0.9435999989509583,0.0437542125582695,0.6117314696311951,0.9150000214576721,0.06448034197092056,0.8837000131607056,0.06340086460113525,0.056611694395542145
84,0.9453625082969666,0.0636252835392952,0.4541406035423279,0.96182781457901,0.0847945585846901,0.8925055861473083,0.08957606554031372,0.0796683207154274,0.9437000155448914,0.043736107647418976,0.6100578308105469,0.9154000282287598,0.0646991953253746,0.880299985408783,0.06366580724716187,0.056825146079063416
85,0.9449023604393005,0.06419111788272858,0.45408234000205994,0.9629481434822083,0.08455227315425873,0.8948863744735718,0.08977939188480377,0.07998993247747421,0.9433000087738037,0.04340065270662308,0.609538197517395,0.9150000214576721,0.06459685415029526,0.8780999779701233,0.06347940862178802,0.05662733316421509
86,0.9427216649055481,0.06476590037345886,0.4529494047164917,0.960247278213501,0.085971899330616,0.8917253613471985,0.09069953113794327,0.08066743612289429,0.9433000087738037,0.04345764219760895,0.6084454655647278,0.9143000245094299,0.06428910046815872,0.881600022315979,0.06332243978977203,0.0563758909702301
87,0.9452624917030334,0.06327535212039948,0.45271411538124084,0.9635083079338074,0.08444207906723022,0.8932658433914185,0.08940720558166504,0.0792466402053833,0.9447000026702881,0.043406713753938675,0.6084305047988892,0.9160000085830688,0.06424827873706818,0.8806999921798706,0.0631871223449707,0.056286390870809555
88,0.9452424645423889,0.06390398740768433,0.45320868492126465,0.9638684391975403,0.08455899357795715,0.8931257724761963,0.08996525406837463,0.07990439981222153,0.9438999891281128,0.04372388869524002,0.6089238524436951,0.9142000079154968,0.06418772041797638,0.8805999755859375,0.06339322775602341,0.056565724313259125
89,0.9452024698257446,0.06425486505031586,0.4505636692047119,0.9619278311729431,0.08506787568330765,0.8943662047386169,0.0902121514081955,0.08022001385688782,0.9440000057220459,0.04361170530319214,0.610384464263916,0.9156000018119812,0.06386730819940567,0.8835999965667725,0.06333573162555695,0.056448180228471756
90,0.9452024698257446,0.0640779659152031,0.4519062638282776,0.9618477821350098,0.08525452762842178,0.8935859203338623,0.0902622789144516,0.08017674088478088,0.9445000290870667,0.043792445212602615,0.6080521941184998,0.916700005531311,0.06400436162948608,0.881600022315979,0.06306266784667969,0.056403156369924545
91,0.943541944026947,0.06437093019485474,0.45205068588256836,0.9625080227851868,0.08522680401802063,0.8936059474945068,0.09031235426664352,0.08034425228834152,0.944100022315979,0.04352393373847008,0.6093335747718811,0.9144999980926514,0.06434009969234467,0.8791000247001648,0.06350202858448029,0.05659837648272514
92,0.9459027051925659,0.06344403326511383,0.45232129096984863,0.9639484882354736,0.0843789353966713,0.8933058381080627,0.08896172791719437,0.0790325254201889,0.9440000057220459,0.04348624125123024,0.608570396900177,0.9146000146865845,0.06420139223337173,0.8822000026702881,0.0632598027586937,0.05628623068332672
93,0.9469830393791199,0.06356355547904968,0.45196595788002014,0.9630481600761414,0.08556107431650162,0.894166111946106,0.09069257974624634,0.08033585548400879,0.9438999891281128,0.04364806413650513,0.6091001629829407,0.9157000184059143,0.06421123445034027,0.882099986076355,0.06319785863161087,0.05648256093263626
94,0.946823000907898,0.06331562995910645,0.4511507749557495,0.9611075520515442,0.08493852615356445,0.8939660787582397,0.08956953138113022,0.07968990504741669,0.9437000155448914,0.04352103918790817,0.6066729426383972,0.9154000282287598,0.06424582749605179,0.8823999762535095,0.06287730485200882,0.056366901844739914
95,0.9460827708244324,0.06324250251054764,0.4517768323421478,0.9619477987289429,0.08465646207332611,0.8934059143066406,0.08937377482652664,0.0795561745762825,0.9438999891281128,0.0440138578414917,0.6059747338294983,0.9151999950408936,0.06366682052612305,0.8828999996185303,0.06289826333522797,0.0565224252641201
96,0.9452024698257446,0.06332174688577652,0.4509427845478058,0.9631482362747192,0.08550933748483658,0.8943061828613281,0.09036485105752945,0.08012942224740982,0.9434999823570251,0.043630413711071014,0.609302818775177,0.9156000018119812,0.06375015527009964,0.8824999928474426,0.0629463866353035,0.05635606124997139
97,0.9468029737472534,0.06279420852661133,0.4513259828090668,0.9632282257080078,0.08355244994163513,0.8944262266159058,0.08844339847564697,0.07855075597763062,0.9447000026702881,0.04339030757546425,0.6062053442001343,0.9156000018119812,0.06383701413869858,0.8823000192642212,0.06292137503623962,0.05612948164343834
98,0.9447623491287231,0.06408914923667908,0.45141735672950745,0.9624679684638977,0.08497349917888641,0.8935059309005737,0.08974182605743408,0.08002538233995438,0.944100022315979,0.043630387634038925,0.6059018969535828,0.9158999919891357,0.06408192962408066,0.8819000124931335,0.06299520283937454,0.0564148910343647
99,0.9450224041938782,0.06417952477931976,0.4486323893070221,0.9619078040122986,0.08621112257242203,0.8929657340049744,0.09120310097932816,0.08079413324594498,0.9442999958992004,0.04348397254943848,0.6067824959754944,0.9157000184059143,0.06403487920761108,0.8806999921798706,0.06286498159170151,0.05617132410407066
